district,state,cluster,Youth Population %,Sex Ratio (Total),Sex Ratio (Birth),Adolescent Fertility %,Child Marriage %,Women Literacy %,Women 10+ Yrs School %,Modern FP Use %,Unmet FP Need %,ANC 1st Trimester %,ANC 4+ Visits %,Institutional Births %,Full Vaccination %,Stunting %,Underweight Children %,Women Anaemia %,Improved Sanitation %,Clean Fuel %,Health Insurance %,cluster_label,transition_stage,dividend_potential
Cuttack,Odisha,3,21.34,1019.42,745.29,5.67,14.23,83.15,40.86,47.03,3.65,73.63,84.2,98.86,-90.42,20.42,18.87,64.5,60.22,45.14,42.29,,mid,emerging
Jajapur,Odisha,2,25.39,1017.96,897.81,7.69,11.36,78.36,37.98,44.91,9.0,65.17,73.83,93.81,79.48,25.5,21.79,63.39,47.35,28.35,53.92,,mid,emerging
Dhenkanal,Odisha,2,25.36,1047.39,895.29,9.25,23.69,77.05,33.31,48.21,8.07,72.42,75.79,94.81,-88.6,33.31,30.0,65.93,58.2,28.78,55.16,,mid,emerging
Anugul,Odisha,2,24.49,1026.84,868.21,12.2,25.04,74.63,33.65,52.61,2.94,78.7,83.65,85.71,86.98,28.06,30.47,75.78,66.42,23.8,63.06,,mid,emerging
Nayagarh,Odisha,2,23.07,1082.93,844.8,10.0,35.67,81.86,27.14,43.68,4.55,86.01,90.27,98.29,-96.07,20.0,20.16,62.53,67.05,42.27,49.28,,mid,emerging
Khordha,Odisha,3,22.18,1024.07,810.21,5.28,17.11,85.7,43.2,42.36,7.36,85.13,91.02,97.78,-87.89,17.07,16.86,68.09,73.15,63.3,43.15,,mid,emerging
Puri,Odisha,3,21.59,1045.07,781.92,3.97,10.22,87.67,38.09,48.62,7.28,83.33,94.92,97.67,-95.78,13.78,11.32,63.34,67.33,34.42,61.45,,mid,emerging
Ganjam,Odisha,2,24.61,1165.14,855.13,11.44,22.27,71.86,32.58,46.7,16.94,77.56,82.72,93.01,88.46,23.94,18.88,56.72,72.89,63.73,51.88,,mid,emerging
Gajapati,Odisha,2,28.21,1087.03,998.96,5.83,28.07,50.52,22.47,53.85,5.44,79.31,83.04,76.37,92.58,43.35,34.33,66.12,58.26,28.93,39.62,,mid,emerging
Kandhamal,Odisha,2,29.01,1052.2,984.98,4.21,20.0,70.32,28.12,49.58,4.49,74.74,81.1,93.94,96.82,34.15,35.22,48.91,52.38,24.07,54.49,,mid,emerging
Baudh,Odisha,2,25.91,1008.56,844.15,13.65,25.25,71.01,29.88,45.29,5.21,78.78,79.04,93.36,91.82,37.04,38.58,54.13,52.94,30.85,44.73,,mid,emerging
Subarnapur,Odisha,2,23.51,973.98,924.01,6.29,16.88,79.24,37.8,56.98,5.78,84.28,87.78,96.08,97.95,29.64,34.5,58.79,66.68,41.57,45.8,,mid,emerging
Balangir,Odisha,2,23.9,1056.44,918.71,3.71,14.02,69.8,31.4,58.6,3.4,89.06,95.41,97.88,-95.8,32.68,37.64,59.35,66.27,32.57,43.98,,mid,emerging
Nuapada,Odisha,2,27.22,1060.12,1024.6,3.94,15.64,57.19,27.3,54.88,7.25,76.63,71.65,89.8,97.0,43.07,38.02,64.02,58.37,23.23,45.3,,mid,emerging
Kalahandi,Odisha,2,25.78,1051.18,903.45,1.89,16.33,63.75,26.45,48.6,3.96,80.07,82.85,92.75,-91.27,32.96,33.6,64.23,64.42,28.89,48.62,,mid,emerging
Rayagada,Odisha,1,30.88,1109.52,950.95,9.18,33.16,45.07,19.13,45.29,6.13,74.1,85.26,68.9,92.73,43.55,39.81,69.14,50.45,30.17,45.45,,mid,low
Nabarangapur,Odisha,1,31.8,1059.79,1044.57,8.34,39.41,40.95,15.54,56.25,3.43,82.12,87.67,87.56,94.84,44.11,46.61,69.25,44.13,19.02,48.41,,mid,low
Koraput,Odisha,1,29.67,1079.42,1013.98,8.4,35.54,41.68,17.63,56.0,6.61,87.14,79.19,82.07,97.95,43.08,33.46,58.23,39.42,31.53,54.58,,mid,low
Malkangiri,Odisha,1,34.06,1136.77,981.07,11.71,32.4,41.29,13.96,53.44,4.38,81.71,82.77,90.66,94.81,44.33,41.63,71.92,41.44,20.86,47.0,,mid,low
Yanam,Puducherry,3,21.83,1088.55,1154.3,4.83,15.9,83.32,51.57,78.5,1.24,95.46,79.84,100.0,-79.71,24.96,18.65,43.06,84.06,98.55,29.18,,mid,emerging
Puducherry,Puducherry,3,20.05,1105.71,963.27,5.31,5.69,91.7,67.17,62.08,11.38,82.19,86.96,99.54,-80.06,16.96,13.09,56.78,84.56,95.01,31.32,,mid,emerging
Mahe,Puducherry,3,16.8,1163.58,1202.13,0.7,2.76,99.69,88.18,65.93,6.76,93.66,85.0,100.0,-95.27,48.18,32.62,38.39,99.77,90.88,23.64,,mid,emerging
Karaikal,Puducherry,3,21.91,1132.03,883.95,0.59,7.24,89.63,58.98,57.9,10.16,79.18,88.34,99.55,-88.94,25.49,19.73,54.44,84.29,81.19,26.85,,mid,emerging
Kapurthala,Punjab,3,21.82,998.33,921.6,2.46,6.87,85.3,60.29,47.24,13.35,67.55,51.37,95.03,65.65,24.59,19.17,54.53,87.66,84.18,20.68,,mid,emerging
Jalandhar,Punjab,3,21.66,997.12,935.78,0.69,7.44,88.1,64.42,40.1,8.78,78.54,72.83,92.34,-91.27,24.81,16.66,57.04,88.24,82.34,25.89,,mid,emerging
Hoshiarpur,Punjab,3,19.88,998.93,970.18,1.58,4.68,92.75,73.17,46.29,11.88,80.11,59.67,98.34,-92.9,19.29,12.41,54.1,89.7,77.25,27.67,,mid,emerging
Shahid Bhagat Singh Nagar,Punjab,3,20.94,1003.62,832.62,2.78,6.41,89.94,65.43,49.43,10.75,79.87,60.45,99.33,-100.0,17.91,11.2,49.78,91.25,76.37,23.29,,mid,emerging
Fatehgarh Sahib,Punjab,3,21.07,898.95,843.75,1.5,7.32,87.23,62.34,44.1,7.74,74.29,75.97,96.59,83.55,29.98,18.24,65.08,87.6,74.34,35.08,,mid,emerging
Ludhiana,Punjab,3,21.34,918.48,964.24,1.83,6.45,85.28,61.55,50.49,8.25,61.75,65.19,90.12,-73.17,22.06,12.44,64.34,84.61,83.21,25.24,,mid,emerging
Moga,Punjab,3,22.75,905.7,1014.32,4.33,13.11,76.0,45.17,60.02,7.96,74.99,58.43,93.04,-80.58,22.02,16.8,54.38,87.76,71.49,23.65,,mid,emerging
Muktsar,Punjab,3,23.18,941.74,877.44,2.73,8.61,72.73,39.81,59.66,6.15,71.23,57.87,96.39,-57.58,35.0,30.72,60.95,82.94,72.9,23.86,,mid,emerging
Faridkot,Punjab,0,23.35,924.02,913.59,4.7,11.89,75.3,46.54,47.67,15.68,62.59,53.44,94.29,70.83,28.13,20.73,63.22,87.51,79.07,20.42,,mid,emerging
Bathinda,Punjab,0,21.53,860.94,820.39,3.87,14.16,72.47,41.06,40.74,17.69,52.13,48.23,93.12,-66.5,22.99,23.75,59.68,88.39,78.11,20.12,,mid,emerging
Mansa,Punjab,2,23.01,923.75,871.27,2.69,11.47,69.39,37.54,57.23,7.21,66.9,49.42,88.77,79.08,36.62,22.67,60.41,85.41,52.28,18.42,,mid,emerging
Patiala,Punjab,3,20.16,921.57,953.68,5.24,7.79,78.6,56.0,49.26,7.49,65.53,71.95,97.25,-74.65,20.32,16.93,65.32,88.06,80.38,33.77,,mid,emerging
Amritsar,Punjab,3,22.92,921.04,1036.73,4.43,9.17,81.68,56.71,57.62,9.67,70.91,56.49,95.9,-65.84,19.38,11.22,52.07,86.0,82.86,26.17,,mid,emerging
Tarn Taran,Punjab,3,25.83,978.01,889.77,5.2,10.72,68.61,40.38,60.69,8.0,66.42,60.25,95.97,81.79,23.77,14.37,61.73,82.01,66.21,24.96,,mid,emerging
Rupnagar,Punjab,3,21.5,990.88,1022.08,0.55,2.43,88.93,63.98,49.83,10.77,56.63,65.23,97.76,-76.47,15.05,15.28,64.49,83.97,63.92,37.75,,mid,emerging
Sahibzada Ajit Singh Nagar,Punjab,3,20.9,876.37,854.58,2.92,10.55,86.73,62.53,53.64,4.74,81.19,69.02,97.42,71.05,26.24,23.01,59.45,87.61,88.86,30.99,,mid,emerging
Sangrur,Punjab,3,21.19,936.52,798.2,1.38,8.04,79.79,54.4,48.15,12.3,66.5,47.71,94.66,-89.56,23.44,18.1,52.63,92.37,69.8,18.7,,mid,emerging
Barnala,Punjab,3,21.69,882.86,754.86,2.63,12.75,78.75,53.08,53.61,9.36,75.62,63.79,96.7,68.45,33.77,16.54,55.24,90.66,73.48,20.69,,mid,emerging
Fazilka,Punjab,3,23.7,943.8,951.09,2.64,12.37,72.77,41.27,56.29,7.09,65.15,36.47,91.67,-60.54,35.93,20.19,66.9,81.81,57.14,20.57,,mid,emerging
Firozpur,Punjab,3,23.71,957.66,891.87,1.87,10.51,75.74,47.45,63.27,5.38,67.23,48.44,95.53,74.53,30.03,22.01,61.45,84.77,68.61,21.03,,mid,emerging
Gurdaspur,Punjab,3,23.74,952.27,746.35,8.19,6.51,84.39,64.55,43.28,15.4,69.36,61.09,92.4,80.02,25.08,15.28,55.2,85.42,81.26,23.47,,mid,emerging
Pathankot,Punjab,3,20.88,952.22,755.68,2.67,4.58,90.47,74.04,42.65,10.48,63.53,52.42,94.8,-77.37,22.13,10.75,54.95,79.18,79.84,26.99,,mid,emerging
Ganganagar,Rajasthan,2,24.9,956.71,905.54,2.38,13.58,70.96,39.34,72.75,5.14,83.32,58.69,97.7,89.72,24.46,26.08,58.97,83.42,45.46,85.3,,mid,emerging
Hanumangarh,Rajasthan,2,25.11,1015.43,1116.85,2.81,18.62,69.72,38.43,70.69,6.13,84.39,53.12,94.94,83.26,24.15,21.25,60.27,83.79,36.2,89.0,,mid,emerging
Bikaner,Rajasthan,2,30.23,967.84,907.2,6.54,33.33,64.33,30.23,67.46,4.57,80.52,50.52,89.99,75.55,22.8,28.54,58.92,79.84,51.35,87.44,,mid,emerging
Churu,Rajasthan,2,28.98,1036.63,943.66,4.18,27.85,66.04,33.35,68.39,7.55,72.44,45.01,87.84,74.27,27.05,23.39,52.93,80.15,40.63,81.87,,mid,emerging
Jhunjhunun,Rajasthan,3,24.82,1062.83,946.16,0.78,18.07,76.06,45.24,69.06,7.08,80.12,49.15,97.12,88.69,20.89,19.55,55.36,78.97,55.5,86.13,,mid,emerging
Alwar,Rajasthan,2,29.36,991.31,1127.08,7.98,32.24,65.64,35.09,47.34,12.0,55.52,29.97,91.27,59.37,33.94,23.97,53.15,65.99,34.9,80.75,,mid,emerging
Bharatpur,Rajasthan,1,31.66,969.92,845.08,5.14,33.46,63.05,30.3,48.42,11.28,55.36,33.23,92.12,64.06,40.27,29.13,60.78,62.66,24.34,84.77,,mid,low
Dhaulpur,Rajasthan,1,34.94,1002.45,929.29,7.22,29.56,59.91,27.01,52.87,10.87,67.85,42.43,94.42,85.89,45.69,31.31,68.48,57.47,36.45,89.02,,mid,low
Karauli,Rajasthan,2,32.09,996.37,863.38,7.03,33.47,54.82,22.68,61.21,6.93,64.95,42.02,97.56,88.91,37.61,37.32,61.48,49.94,24.23,86.35,,mid,emerging
Sawai Madhopur,Rajasthan,2,28.85,999.02,849.06,2.92,35.39,57.35,28.34,50.15,11.49,65.38,47.31,97.4,54.85,26.93,24.19,57.48,71.2,29.1,80.54,,mid,emerging
Dausa,Rajasthan,2,29.22,985.81,863.34,2.96,26.25,62.18,34.58,68.67,5.19,81.01,53.64,98.17,92.11,37.66,33.49,60.32,59.43,22.59,91.21,,mid,emerging
Jaipur,Rajasthan,2,25.63,944.24,915.34,1.83,23.07,73.75,47.88,66.65,5.44,81.34,53.5,97.33,89.26,25.0,20.75,54.14,79.58,60.05,81.53,,mid,emerging
Sikar,Rajasthan,2,27.46,1061.29,769.52,2.97,18.03,73.26,41.42,63.33,10.29,75.91,50.42,95.76,69.98,23.13,18.27,43.96,77.91,58.41,82.37,,mid,emerging
Nagaur,Rajasthan,2,27.6,1054.97,816.93,0.86,28.18,67.77,32.33,69.25,4.38,77.12,46.15,96.96,80.6,31.52,26.19,45.27,79.04,45.68,90.02,,mid,emerging
Jodhpur,Rajasthan,2,30.27,1042.24,872.0,5.1,28.05,68.18,34.57,66.35,5.72,71.89,56.71,90.03,81.16,32.59,25.44,43.35,75.44,56.14,87.5,,mid,emerging
Jaisalmer,Rajasthan,2,32.93,986.52,817.56,0.95,28.88,63.53,18.71,68.18,5.59,64.59,47.59,90.01,72.02,25.5,31.66,44.44,75.74,30.86,93.66,,mid,emerging
Barmer,Rajasthan,2,31.4,985.65,876.96,2.02,20.23,67.64,25.6,66.71,5.11,82.71,64.93,93.31,92.85,39.06,31.7,49.4,83.62,26.79,97.79,,mid,emerging
Jalor,Rajasthan,2,31.05,982.4,769.11,2.92,23.29,62.62,22.2,46.15,14.81,82.06,71.22,95.52,77.97,44.27,36.52,59.87,77.38,36.53,96.61,,mid,emerging
Sirohi,Rajasthan,2,29.53,1060.25,1064.17,4.39,17.95,62.22,25.67,61.48,8.87,73.06,69.52,95.71,86.36,30.66,31.18,64.03,54.12,45.96,91.96,,mid,emerging
Pali,Rajasthan,2,27.31,1084.73,997.84,2.19,11.81,76.33,36.64,47.61,12.94,69.34,45.02,98.81,90.15,35.86,35.91,58.79,81.81,53.14,96.21,,mid,emerging
Ajmer,Rajasthan,2,26.73,992.98,847.95,5.54,20.2,70.17,40.19,56.6,11.87,80.43,52.81,95.11,78.93,22.31,23.11,52.74,77.45,52.86,88.73,,mid,emerging
Tonk,Rajasthan,2,25.9,987.14,969.44,3.12,37.21,56.36,27.29,61.26,8.74,78.76,66.17,97.37,75.34,33.1,28.15,52.84,66.17,24.08,84.52,,mid,emerging
Bundi,Rajasthan,2,28.38,1002.0,803.22,2.32,34.05,57.88,27.36,66.64,7.07,80.95,73.99,95.25,75.72,29.99,29.12,55.85,56.29,26.45,87.66,,mid,emerging
Bhilwara,Rajasthan,2,29.15,1068.86,802.07,5.37,41.78,58.06,25.28,58.85,7.2,77.98,64.66,95.01,83.23,22.57,23.5,50.39,62.25,26.5,89.05,,mid,emerging
Rajsamand,Rajasthan,2,27.64,1064.71,800.29,3.16,27.46,69.74,33.94,50.66,14.66,84.83,60.68,95.1,71.67,30.29,23.74,58.37,72.05,37.09,93.22,,mid,emerging
Dungarpur,Rajasthan,2,28.82,1028.55,842.88,4.41,16.92,68.19,32.53,60.76,5.86,77.03,50.62,94.11,83.27,31.37,25.87,72.55,59.9,27.26,97.53,,mid,emerging
Banswara,Rajasthan,2,31.67,1056.23,834.8,5.19,24.96,54.82,28.54,58.53,8.05,87.01,69.88,97.7,82.99,44.62,38.69,52.82,40.8,21.13,84.23,,mid,emerging
Chittaurgarh,Rajasthan,2,26.11,1036.96,861.48,3.45,42.64,57.49,24.84,49.64,8.05,85.5,75.04,96.75,87.84,31.43,25.92,45.14,63.83,31.25,90.55,,mid,emerging
Kota,Rajasthan,3,23.92,980.88,870.08,0.45,13.23,77.94,44.0,68.28,4.63,88.04,81.34,97.87,84.37,29.52,26.41,51.75,79.03,72.3,80.88,,mid,emerging
Baran,Rajasthan,2,28.43,1019.13,1077.25,3.02,26.77,59.74,24.43,71.79,4.04,88.21,79.31,97.28,89.25,45.95,40.2,60.07,58.98,39.59,89.48,,mid,emerging
Jhalawar,Rajasthan,2,25.65,976.84,904.73,5.61,37.84,56.26,22.35,67.8,6.78,89.93,72.32,98.31,81.45,34.01,38.07,51.52,62.08,33.84,93.63,,mid,emerging
Udaipur,Rajasthan,2,27.55,997.53,833.38,4.53,18.24,64.22,30.13,65.72,4.36,69.61,62.32,96.05,86.79,34.03,26.64,60.49,60.28,34.29,94.3,,mid,emerging
Pratapgarh,Rajasthan,2,30.73,1038.19,918.8,3.19,30.86,55.36,23.47,61.81,6.02,75.05,52.93,96.35,75.82,29.02,31.82,53.14,46.28,23.01,84.47,,mid,emerging
North  District,Sikkim,3,21.0,997.22,692.9,3.75,15.98,81.35,37.72,60.95,12.83,66.18,59.36,97.33,-90.77,31.75,15.3,36.65,83.82,65.92,24.47,,mid,emerging
West District,Sikkim,3,19.21,959.08,684.88,2.53,14.05,85.73,43.92,70.82,4.27,75.76,70.36,99.33,-96.91,25.18,19.26,42.65,88.93,69.8,19.87,,mid,emerging
South District,Sikkim,3,19.93,973.22,1352.66,8.7,9.91,90.46,45.7,67.57,5.19,78.05,84.49,97.41,-86.43,24.81,7.17,39.81,91.71,66.54,20.77,,mid,emerging
Thiruvallur,Tamil Nadu,3,21.62,979.44,991.1,5.82,13.39,85.9,57.18,65.99,9.31,77.64,85.35,100.0,-88.57,18.07,20.58,56.83,75.58,93.42,57.37,,mid,emerging
Chennai,Tamil Nadu,3,18.01,1037.32,858.75,2.97,1.94,96.1,76.72,63.64,6.86,81.42,89.86,100.0,-96.55,20.35,21.85,50.28,90.43,97.71,58.23,,mid,emerging
Kancheepuram,Tamil Nadu,3,19.19,1001.69,888.67,2.47,9.98,84.45,56.78,67.31,7.17,62.64,76.07,100.0,-69.05,20.58,19.81,56.97,75.86,88.06,59.7,,mid,emerging
Vellore,Tamil Nadu,3,22.41,1070.35,721.59,4.85,14.89,84.72,52.45,63.2,6.69,84.39,95.4,99.53,92.72,29.8,19.69,50.59,76.2,85.3,71.36,,mid,emerging
Tiruvannamalai,Tamil Nadu,3,20.94,1108.56,847.8,8.49,11.64,81.66,50.17,68.65,5.09,81.22,97.65,99.05,-97.06,30.63,24.96,56.55,61.69,70.74,69.6,,mid,emerging
Viluppuram,Tamil Nadu,3,24.77,1119.57,915.6,7.92,19.01,77.83,45.72,68.61,7.4,80.1,94.88,99.11,-88.51,23.88,20.52,62.53,53.83,68.64,77.56,,mid,emerging
Salem,Tamil Nadu,3,20.09,1057.14,900.12,8.86,23.68,83.16,51.29,64.13,5.6,74.7,85.04,100.0,-77.02,23.62,20.77,46.33,64.51,84.48,67.49,,mid,emerging
Namakkal,Tamil Nadu,3,17.3,1142.4,1130.43,6.52,14.24,88.93,55.66,62.33,6.51,76.16,97.83,100.0,-83.89,25.21,15.67,51.93,75.23,89.66,68.76,,mid,emerging
Erode,Tamil Nadu,3,18.18,1112.41,807.1,14.79,13.7,83.05,57.8,67.43,4.94,87.8,93.93,100.0,-95.88,19.39,26.87,55.43,67.64,95.9,77.67,,mid,emerging
The Nilgiris,Tamil Nadu,3,19.72,1092.59,1035.36,4.53,11.08,90.62,63.38,74.65,6.0,79.95,92.46,100.0,-90.11,26.66,23.23,44.17,83.58,81.47,74.54,,mid,emerging
Dindigul,Tamil Nadu,3,24.37,1065.81,815.79,8.64,20.46,81.01,50.06,71.39,6.28,71.88,96.21,96.99,92.56,27.09,28.41,42.61,61.04,76.3,71.92,,mid,emerging
Karur,Tamil Nadu,3,19.12,1154.12,839.07,3.32,13.29,80.47,51.21,63.48,7.52,83.29,95.7,100.0,-82.47,33.61,36.28,65.04,63.56,72.46,74.6,,mid,emerging
Tiruchirappalli,Tamil Nadu,3,21.48,1122.99,918.84,4.51,13.48,84.79,57.09,61.51,11.09,86.13,90.51,98.6,-97.06,27.55,27.37,62.37,67.12,71.15,67.75,,mid,emerging
Perambalur,Tamil Nadu,3,22.57,1209.51,886.87,7.65,21.36,82.98,48.97,58.85,11.39,85.75,92.19,100.0,-92.54,29.12,22.26,66.06,57.38,75.13,75.53,,mid,emerging
Ariyalur,Tamil Nadu,3,22.39,1143.08,807.24,11.54,12.4,77.44,50.7,60.15,6.97,65.02,91.43,100.0,-90.75,25.33,20.07,62.42,54.64,46.69,71.13,,mid,emerging
Cuddalore,Tamil Nadu,3,22.92,1061.53,819.12,4.94,12.64,80.46,50.13,63.45,9.19,75.54,82.22,99.17,-79.03,20.22,17.98,58.57,61.32,75.61,64.4,,mid,emerging
Nagapattinam,Tamil Nadu,3,20.82,1148.26,799.16,5.16,6.29,89.25,53.73,61.93,8.51,89.41,93.13,99.65,-93.77,32.28,24.33,62.64,69.57,59.03,70.85,,mid,emerging
Thiruvarur,Tamil Nadu,3,19.62,1130.88,900.93,2.74,9.1,91.21,57.47,66.73,9.6,80.48,92.33,100.0,-97.05,19.75,21.5,58.2,71.02,58.94,75.24,,mid,emerging
Thanjavur,Tamil Nadu,3,19.58,1111.66,933.7,8.43,4.14,86.37,54.33,60.64,9.45,86.1,93.66,100.0,-78.48,19.55,21.88,59.04,79.62,69.42,70.63,,mid,emerging
Pudukkottai,Tamil Nadu,2,23.72,1095.16,803.99,11.29,11.57,83.71,52.2,64.28,12.18,77.92,91.64,100.0,83.32,32.2,21.62,62.53,55.21,42.01,72.91,,mid,emerging
Sivaganga,Tamil Nadu,3,21.76,1223.33,1126.82,9.58,4.47,88.03,59.92,66.05,7.03,72.64,90.89,100.0,-89.43,27.62,28.37,51.52,74.39,75.15,67.72,,mid,emerging
Madurai,Tamil Nadu,3,19.92,1079.13,814.62,3.95,11.46,87.3,58.55,68.44,8.72,69.97,89.47,100.0,-88.81,32.39,21.51,47.99,80.05,91.18,66.29,,mid,emerging
Theni,Tamil Nadu,3,23.77,1168.4,1056.58,13.52,16.04,86.94,56.93,67.1,7.32,88.79,98.65,100.0,95.18,20.22,18.83,41.16,74.43,89.94,67.35,,mid,emerging
Virudhunagar,Tamil Nadu,3,21.36,1109.45,729.68,3.56,15.47,85.25,53.52,66.29,6.37,64.99,83.4,97.77,-76.68,29.22,23.67,56.88,59.78,90.51,51.27,,mid,emerging
Ramanathapuram,Tamil Nadu,3,24.41,1146.99,787.09,5.95,14.71,86.06,53.73,68.08,7.92,82.93,88.22,99.63,90.35,26.43,21.62,53.55,78.62,82.73,69.74,,mid,emerging
Thoothukkudi,Tamil Nadu,3,20.89,1110.83,733.54,0.94,8.88,90.28,59.52,63.76,8.09,59.19,80.66,100.0,-100.0,20.34,20.95,55.93,79.42,90.67,57.78,,mid,emerging
Tirunelveli,Tamil Nadu,3,22.05,1109.06,938.86,4.32,10.69,87.34,54.18,64.37,7.12,84.54,84.97,100.0,-93.25,29.39,22.71,51.02,79.78,87.86,61.27,,mid,emerging
Kanniyakumari,Tamil Nadu,3,20.79,1121.33,880.11,3.99,4.32,97.99,77.1,66.56,4.87,65.64,84.21,100.0,-96.04,17.31,14.45,45.55,96.18,74.38,64.1,,mid,emerging
Dharmapuri,Tamil Nadu,3,23.78,1191.83,1051.91,6.41,16.74,80.58,54.41,68.03,8.52,78.37,94.49,99.59,90.6,28.71,23.21,42.5,72.35,82.47,75.45,,mid,emerging
Krishnagiri,Tamil Nadu,3,24.21,1053.05,856.92,9.53,20.29,79.86,53.86,67.69,4.89,84.48,93.12,99.6,87.29,29.03,19.32,43.96,75.94,86.0,73.58,,mid,emerging
Coimbatore,Tamil Nadu,3,19.25,1061.15,951.63,10.3,19.75,90.57,62.8,61.97,9.1,72.56,89.99,100.0,-94.51,23.0,18.48,48.85,78.45,95.45,60.99,,mid,emerging
Adilabad,Telangana,2,24.81,991.99,784.72,7.83,21.41,64.84,41.04,54.13,10.12,89.7,74.78,94.11,69.29,45.73,52.0,61.1,50.84,81.59,63.62,,mid,emerging
Bhadradri Kothagudem,Telangana,2,19.51,1081.65,816.74,13.01,20.8,68.71,41.78,74.04,3.78,92.75,70.13,97.37,80.41,28.41,25.25,68.71,75.33,89.16,59.37,,mid,emerging
Hyderabad,Telangana,3,22.98,959.0,844.13,2.2,10.62,83.55,63.16,70.01,6.07,87.94,69.93,98.32,-73.76,30.41,18.91,52.65,84.43,99.54,48.9,,mid,emerging
Jagitial,Telangana,3,24.05,1219.33,955.26,3.06,28.43,62.39,43.46,56.48,13.39,94.64,81.85,94.43,-77.68,29.85,32.29,56.32,76.49,94.72,59.22,,mid,emerging
Jangoan,Telangana,3,19.12,1066.22,1089.08,6.5,20.33,65.51,44.04,70.4,4.56,89.69,65.41,99.56,-84.22,33.4,30.89,57.45,84.34,91.09,71.68,,mid,emerging
Jayashankar Bhupalapally,Telangana,2,18.53,1078.93,902.5,13.16,24.86,58.92,36.33,64.34,6.99,94.57,72.72,99.49,-87.9,32.45,36.67,65.88,65.58,90.31,71.47,,mid,emerging
Jogulamba Gadwal,Telangana,2,26.82,1036.52,852.63,15.85,34.6,45.04,27.41,74.85,2.62,88.29,72.91,94.15,86.85,49.7,41.73,64.55,73.73,86.1,61.75,,mid,emerging
Kamareddy,Telangana,2,23.43,1103.84,869.62,1.11,30.81,58.56,35.62,56.83,9.79,87.49,79.5,97.05,75.54,33.36,43.94,58.93,68.18,82.3,66.5,,mid,emerging
Karimnagar,Telangana,3,20.07,1065.04,932.93,7.57,11.87,70.26,50.8,56.44,9.99,92.25,69.64,98.36,-73.39,30.26,27.49,61.07,78.83,94.87,58.57,,mid,emerging
Khammam,Telangana,3,18.97,1060.75,905.4,10.92,34.97,66.3,40.88,76.22,3.32,84.89,76.25,97.92,-86.57,22.15,26.23,62.36,84.48,97.11,60.36,,mid,emerging
Komaram Bheem Asifabad,Telangana,2,23.65,1024.43,916.98,4.58,25.03,51.67,28.73,49.13,6.76,80.04,68.81,82.03,76.16,38.05,41.09,67.28,54.03,85.76,63.55,,mid,emerging
Mahabubabad,Telangana,2,21.81,1066.73,885.07,6.63,28.29,58.04,34.7,74.73,4.69,87.77,67.74,97.65,-76.13,32.98,26.31,62.76,68.55,86.58,69.26,,mid,emerging
Mahabubnagar,Telangana,2,27.79,1035.06,788.53,9.15,23.4,59.59,40.35,70.12,2.73,86.23,62.6,98.1,89.39,42.63,32.99,54.69,73.72,85.89,70.27,,mid,emerging
Mancherial,Telangana,3,19.45,1065.03,909.1,3.68,13.98,69.45,48.75,55.28,11.26,86.65,64.7,90.07,-76.03,25.88,27.39,56.67,78.14,93.05,64.4,,mid,emerging
Medak,Telangana,2,23.43,1051.19,847.92,6.54,31.81,57.71,39.33,55.72,7.39,78.94,68.52,98.87,-69.31,36.35,41.99,54.44,78.16,80.13,61.19,,mid,emerging
Medchal-Malkajgiri,Telangana,3,23.14,995.75,827.98,3.08,10.17,79.52,59.33,72.42,3.72,89.38,69.62,98.26,-76.11,33.36,25.04,56.77,86.17,98.99,53.75,,mid,emerging
Nagarkurnool,Telangana,2,23.79,1065.5,770.76,5.25,32.12,57.09,35.97,76.52,3.89,92.37,75.13,98.02,81.09,35.12,30.9,54.02,73.15,87.32,68.61,,mid,emerging
Nalgonda,Telangana,3,23.88,1016.58,883.18,6.0,28.16,62.6,40.9,77.16,2.04,90.45,65.72,98.27,-78.27,31.67,27.97,54.34,76.36,94.6,64.79,,mid,emerging
Nirmal,Telangana,2,22.68,1170.6,1137.5,9.64,23.34,58.58,40.91,58.49,6.7,85.22,69.65,96.65,-75.34,31.67,33.36,57.69,63.63,88.83,49.93,,mid,emerging
Nizamabad,Telangana,2,23.66,1132.1,941.03,3.84,23.71,63.07,42.44,56.83,9.38,87.9,78.53,97.3,86.11,30.49,38.41,56.96,72.54,92.36,52.31,,mid,emerging
Peddapalli,Telangana,3,18.13,1027.61,913.06,4.62,13.57,73.7,46.63,64.76,8.32,83.52,77.88,96.47,-73.14,27.48,33.09,64.56,77.81,96.58,59.14,,mid,emerging
Rajanna Sircilla,Telangana,3,21.25,1167.41,1115.29,3.04,13.24,64.7,46.35,59.27,9.86,90.35,67.06,97.55,84.1,22.42,26.07,55.99,77.42,96.63,62.81,,mid,emerging
Ranga Reddy,Telangana,3,24.06,1022.3,963.97,5.15,29.03,72.13,51.44,69.69,4.78,95.51,75.09,97.17,85.76,37.77,29.47,53.24,81.1,97.0,58.29,,mid,emerging
Sangareddy,Telangana,2,24.52,1052.87,1038.96,4.38,30.6,63.63,41.47,61.68,8.48,82.78,66.38,92.96,78.49,32.85,35.06,48.34,68.01,81.06,58.14,,mid,emerging
Siddipet,Telangana,3,22.03,1061.68,975.69,0.98,19.01,70.96,51.3,59.4,9.56,86.12,62.62,99.65,-63.05,28.06,29.57,56.69,84.14,93.15,60.93,,mid,emerging
